ticker,data_points,start_date,end_date,current_price,ytd_return,file_saved
FCX,415,2024-01-02,2025-08-27,43.87,4.229033024471351,daily_data_fcx_complete.csv
CSCO,415,2024-01-02,2025-08-27,68.44,35.497921203722036,daily_data_csco_complete.csv
TQQQ,415,2024-01-02,2025-08-27,91.04,89.15437357157698,daily_data_tqqq_complete.csv
VALE,415,2024-01-02,2025-08-27,10.25,-34.754933163590074,daily_data_vale_complete.csv
KSS,415,2024-01-02,2025-08-27,16.17,-42.33238231098429,daily_data_kss_complete.csv
IBIT,408,2024-01-11,2025-08-27,63.65,139.01614720240332,daily_data_ibit_complete.csv
KEY,415,2024-01-02,2025-08-27,19.39,32.71731690622861,daily_data_key_complete.csv
FHN,415,2024-01-02,2025-08-27,22.83,57.99307958477509,daily_data_fhn_complete.csv
MSTR,415,2024-01-02,2025-08-27,342.06,399.24833977961026,daily_data_mstr_complete.csv
WBD,415,2024-01-02,2025-08-27,12.15,4.202401372212705,daily_data_wbd_complete.csv
BAC,415,2024-01-02,2025-08-27,50.38,48.61356932153393,daily_data_bac_complete.csv
CLF,415,2024-01-02,2025-08-27,10.79,-45.42235710672736,daily_data_clf_complete.csv
QQQ,415,2024-01-02,2025-08-27,573.49,42.450135373456874,daily_data_qqq_complete.csv
XLF,415,2024-01-02,2025-08-27,53.78,42.42584745762712,daily_data_xlf_complete.csv
KO,415,2024-01-02,2025-08-27,68.83,15.061852223336668,daily_data_ko_complete.csv
SCHX,415,2024-01-02,2025-08-27,25.63,37.22981040547848,daily_data_schx_complete.csv
SPLG,415,2024-01-02,2025-08-27,76.09,36.85251798561151,daily_data_splg_complete.csv
SPY,415,2024-01-02,2025-08-27,646.63,36.80947847244263,daily_data_spy_complete.csv
CVE,415,2024-01-02,2025-08-27,16.93,2.1109770808202644,daily_data_cve_complete.csv
KRE,415,2024-01-02,2025-08-27,65.75,25.0,daily_data_kre_complete.csv
VZ,415,2024-01-02,2025-08-27,44.27,13.86316872427984,daily_data_vz_complete.csv
HBAN,415,2024-01-02,2025-08-27,17.8,38.41368584758944,daily_data_hban_complete.csv
GOOGL,415,2024-01-02,2025-08-27,207.48,50.16284287471955,daily_data_googl_complete.csv
GOOG,415,2024-01-02,2025-08-27,208.21,49.19031241043279,daily_data_goog_complete.csv
