ticker,current_price,1st_to_2nd_training_return,1st_to_2nd_training_win_rate,1st_to_2nd_training_trades,1st_to_2nd_testing_return,1st_to_2nd_testing_win_rate,1st_to_2nd_testing_trades,2nd_to_3rd_training_return,2nd_to_3rd_training_win_rate,2nd_to_3rd_training_trades,2nd_to_3rd_testing_return,2nd_to_3rd_testing_win_rate,2nd_to_3rd_testing_trades,3rd_to_4th_training_return,3rd_to_4th_training_win_rate,3rd_to_4th_training_trades,3rd_to_4th_testing_return,3rd_to_4th_testing_win_rate,3rd_to_4th_testing_trades,last_to_1st_training_return,last_to_1st_training_win_rate,last_to_1st_training_trades,last_to_1st_testing_return,last_to_1st_testing_win_rate,last_to_1st_testing_trades
QUBT,8.3,-73.84393607135277,0.0,3,,,,164.97429732169144,66.66666666666666,3,,,,-19.371146114754655,0.0,2,,,,-20.71930216822533,50.0,2,,,
PACK,5.38,-21.056800934785002,25.0,4,-3.842357486479253,66.66666666666666,3.0,0.10927327802265907,50.0,4,-3.797039756139764,0.0,3.0,-2.23312064044634,25.0,4,-0.9016566514910451,33.33333333333333,3.0,-13.49191842870927,50.0,4,-13.30730072364913,33.33333333333333,3.0
AAL,9.465,-10.967433243570923,25.0,4,,,,-7.425633336413018,33.33333333333333,3,,,,-8.208008663364485,33.33333333333333,3,,,,-18.956015610887743,0.0,3,,,
GIS,53.1714,-0.9539815867163237,50.0,4,0.7959922173376377,50.0,2.0,-8.499533992950848,25.0,4,-3.0072675599201015,0.0,2.0,0.8180032869106624,50.0,4,-1.2586647209047785,0.0,1.0,-4.701543053047407,25.0,4,0.03694808793643922,100.0,1.0
SDS,21.03,-5.714586261366684,50.0,4,,,,-1.8181430772956308,25.0,4,,,,-10.449037882553325,50.0,4,,,,27.50851723251413,100.0,3,,,
CPB,31.9467,-2.6619733738147633,50.0,4,1.0101258626371123,50.0,2.0,-7.5114531862333305,50.0,4,-7.0962870342554325,0.0,2.0,3.114171117434683,50.0,4,-3.213077790304375,0.0,1.0,-9.793160424174863,0.0,4,-0.2329644729178959,0.0,1.0
PCG,14.805,-13.592346612829099,50.0,4,-10.837229940024539,50.0,2.0,11.894870345135944,50.0,4,2.987238979118323,100.0,1.0,0.21301425602691104,75.0,4,-3.9707124753590395,0.0,1.0,-12.420903395000337,25.0,4,-2.404692082111437,0.0,1.0
S,17.475,-7.571592681905869,50.0,4,6.3458487572712885,100.0,1.0,-0.044405729577534636,50.0,4,-0.6464445549477782,0.0,1.0,11.781484707755506,75.0,4,0.4254254254254297,100.0,1.0,-11.411068400559577,50.0,4,,,
INFY,18.805,-1.3671236451734514,25.0,4,4.881482554224625,100.0,2.0,-14.9939918643207,0.0,4,1.079720882037849,50.0,2.0,3.618185099661164,75.0,4,0.8726479410962718,100.0,1.0,-8.023701150077367,50.0,4,-1.540957015409572,0.0,1.0
CMG,51.27,-7.599520121541559,25.0,4,1.4794082367053152,100.0,1.0,-11.90582225530622,0.0,4,2.9944838455476797,100.0,1.0,6.605644207931705,50.0,4,-1.9319051262433051,0.0,1.0,-3.228584416166136,50.0,4,,,
CAG,21.67,0.2899467649380538,50.0,4,-2.5261471205836328,0.0,2.0,-12.788576035182576,0.0,4,-4.749214152257464,0.0,2.0,3.206621825284617,50.0,4,-0.3913043478260825,0.0,1.0,-6.609069058828975,25.0,4,-0.6547359231776406,0.0,1.0
VFC,13.2406,-26.561712402888528,25.0,4,22.541750497774338,100.0,2.0,5.2031237978883205,50.0,4,-0.8310249307479145,0.0,1.0,15.099608463264168,75.0,4,-5.412011173184361,0.0,1.0,-28.131321125501763,25.0,4,-9.782207456626058,0.0,1.0
RXRX,6.62,-16.274636164320853,33.33333333333333,3,,,,57.66598740743765,100.0,3,,,,-13.446406714460569,50.0,2,,,,-24.69760101010101,50.0,2,,,
CFLT,25.005,-15.101056325433204,50.0,4,13.120567375886516,100.0,1.0,19.83481947626227,75.0,4,-1.970443349753681,0.0,1.0,10.977065055440182,75.0,4,3.9698492462311608,100.0,1.0,-31.731534650521674,25.0,4,1.2346763917570946,100.0,1.0
MRVL,49.4,-24.823235915945887,25.0,4,,,,3.5288627851565835,50.0,4,,,,-23.65698639772591,33.33333333333333,3,,,,-17.515730640598946,33.33333333333333,3,,,
TZA,25.03,18.72256924811524,66.66666666666666,3,,,,-21.58863502913386,0.0,3,,,,14.021737229208387,66.66666666666666,3,,,,52.20678242966319,100.0,3,,,
NVDD,5.485,-12.318937783066108,50.0,4,-7.621951219512191,0.0,1.0,-8.498268844719625,25.0,4,-9.570957095709554,0.0,1.0,7.436296839268275,50.0,4,0.09124087591241281,100.0,1.0,19.1658151816382,75.0,4,,,
